Hour,Occupancy_Percent,Passenger_Count
0:00,22,8
1:00,17,6
2:00,17,6
3:00,11,4
4:00,23,8
5:00,20,7
6:00,52,19
7:00,90,32
8:00,107,39
9:00,107,39
10:00,101,36
11:00,110,40
12:00,105,38
13:00,104,37
14:00,101,36
15:00,100,36
16:00,103,37
17:00,104,37
18:00,102,37
19:00,110,40
20:00,105,38
21:00,103,37
22:00,76,27
23:00,33,12
