Hour,Occupancy_Percent,Passenger_Count
0:00,25,9
1:00,16,6
2:00,19,7
3:00,14,5
4:00,23,8
5:00,30,11
6:00,58,21
7:00,90,32
8:00,110,40
9:00,125,45
10:00,110,40
11:00,74,27
12:00,62,22
13:00,62,22
14:00,70,25
15:00,104,37
16:00,114,41
17:00,113,41
18:00,137,49
19:00,121,44
20:00,124,45
21:00,104,37
22:00,80,29
23:00,35,13
