Hour,Occupancy_Percent,Total_Passenger_Count,Passenger_Count
0:00,22,90,15
1:00,18,73,12
2:00,0,0,0
3:00,0,0,0
4:00,0,0,0
5:00,0,0,0
6:00,0,0,0
7:00,0,0,0
8:00,85,347,58
9:00,91,371,62
10:00,97,396,66
11:00,93,379,63
12:00,95,388,65
13:00,92,375,63
14:00,100,408,68
15:00,93,379,63
16:00,96,392,65
17:00,94,384,64
18:00,94,384,64
19:00,100,408,68
20:00,99,404,67
21:00,82,335,56
22:00,70,286,48
23:00,35,143,24
