Hour,Occupancy_Percent,Passenger_Count
0:00,27,12
1:00,20,9
2:00,10,5
3:00,11,5
4:00,23,11
5:00,23,11
6:00,56,26
7:00,98,45
8:00,105,48
9:00,108,50
10:00,109,50
11:00,106,49
12:00,106,49
13:00,103,47
14:00,116,53
15:00,119,55
16:00,111,51
17:00,117,54
18:00,112,52
19:00,117,54
20:00,118,54
21:00,104,48
22:00,72,33
23:00,40,18
